Wavelength,Sample,Letter,mean_STD,mean_RAW,dataset_Name,ID
400,1,A,0.06236527510866356,0.3690485720721894,BELON,BELON_1_A
400,1,B,0.1014865422919206,0.040607812307946786,BELON,BELON_1_B
400,1,C,0.0759778347018015,0.02836522930326004,BELON,BELON_1_C
400,2,A,0.043993546744027626,0.19095411924308708,BELON,BELON_2_A
400,2,B,0.09138297419687941,0.02869819389441544,BELON,BELON_2_B
400,2,C,0.05728156492886856,0.021633148596700697,BELON,BELON_2_C
400,3,A,0.05432084361642579,0.1361393150899628,BELON,BELON_3_A
400,3,B,0.05964170977441947,0.02149129480594427,BELON,BELON_3_B
400,3,C,0.08408235511128495,0.019831292457326205,BELON,BELON_3_C
400,4,A,0.05688071440814359,0.0966163907040416,BELON,BELON_4_A
400,4,B,0.08160347121617229,0.02220942819374364,BELON,BELON_4_B
400,4,C,0.07246773231735812,0.01837955861515609,BELON,BELON_4_C
400,5,A,0.04775628960704787,0.036476689051647214,BELON,BELON_5_A
400,5,B,0.06865858867255198,0.02421100825626074,BELON,BELON_5_B
400,5,C,0.07040639789520241,0.01887836580046525,BELON,BELON_5_C
400,6,A,0.03544608247926248,0.2429901289500993,BELON,BELON_6_A
400,6,B,0.10269912283661772,0.03395133060180826,BELON,BELON_6_B
400,6,C,0.06190150659470015,0.01863815791577965,BELON,BELON_6_C
400,7,A,0.05645412892243593,0.1832869778265778,BELON,BELON_7_A
400,7,B,0.10196234095616423,0.03088069522750754,BELON,BELON_7_B
400,7,C,0.08771868654978857,0.02049016207749433,BELON,BELON_7_C
400,8,A,0.04867836210894639,0.1738334473372655,BELON,BELON_8_A
400,8,B,0.08407217600874856,0.03025157172355211,BELON,BELON_8_B
400,8,C,0.08874984878080847,0.019530084472573025,BELON,BELON_8_C
400,9,A,0.06020336398740089,0.08937419380485725,BELON,BELON_9_A
400,9,B,0.07174278034479559,0.02363018220981201,BELON,BELON_9_B
400,9,C,0.09678282610286972,0.01711742770574283,BELON,BELON_9_C
400,10,A,0.061225078955463245,0.2902211127971813,BELON,BELON_10_A
400,10,B,0.09308493320088876,0.040926954779049424,BELON,BELON_10_B
400,10,C,0.08159512221521106,0.01786939672957217,BELON,BELON_10_C
400,11,A,0.06551697925901095,0.1263174993523023,BELON,BELON_11_A
400,11,B,0.11135583738287451,0.03541476184144452,BELON,BELON_11_B
400,11,C,0.09123336052742823,0.01566240397053537,BELON,BELON_11_C
400,12,A,0.03926861788298005,0.1413035332994293,BELON,BELON_12_A
400,12,B,0.09292741950192117,0.0231754230368363,BELON,BELON_12_B
400,12,C,0.08754369347961764,0.02720481092025161,BELON,BELON_12_C
400,13,A,0.058914582134984086,0.2044162244730572,BELON,BELON_13_A
400,13,B,0.08130590865278027,0.02509580671147319,BELON,BELON_13_B
400,13,C,0.07456732748916882,0.02969263260439356,BELON,BELON_13_C
400,14,A,0.05931389376170298,0.04069675365235243,BELON,BELON_14_A
400,14,B,0.08663303959227626,0.0289630759768812,BELON,BELON_14_B
400,14,C,0.0709210048455481,0.019988544775215777,BELON,BELON_14_C
401,1,A,0.052624338555366544,0.3660462006475102,BELON,BELON_1_A
401,1,B,0.0700991597879837,0.03646000397574574,BELON,BELON_1_B
401,1,C,0.05540166134524528,0.02291795802685112,BELON,BELON_1_C
401,2,A,0.0357998229966553,0.1878187715920779,BELON,BELON_2_A
401,2,B,0.06627870429506165,0.0239007473027978,BELON,BELON_2_B
401,2,C,0.04265550879367377,0.01846742758391894,BELON,BELON_2_C
401,3,A,0.03889680796215136,0.130668800656685,BELON,BELON_3_A
401,3,B,0.03479837231648901,0.01719461275372249,BELON,BELON_3_B
401,3,C,0.04916160370441199,0.012640145591188295,BELON,BELON_3_C
401,4,A,0.040869211954393726,0.09080714065208882,BELON,BELON_4_A
401,4,B,0.05294367351279038,0.016875555834296067,BELON,BELON_4_B
401,4,C,0.05457875212202746,0.01480180774543527,BELON,BELON_4_C
401,5,A,0.038160027260513936,0.03289543988169387,BELON,BELON_5_A
401,5,B,0.05629343178044896,0.02216945851628449,BELON,BELON_5_B
401,5,C,0.041534204649059964,0.013104913370184703,BELON,BELON_5_C
401,6,A,0.03641272229809449,0.243306109595398,BELON,BELON_6_A
401,6,B,0.07540805906114871,0.02971666052427986,BELON,BELON_6_B
401,6,C,0.044947105842297955,0.014714292584303422,BELON,BELON_6_C
401,7,A,0.047565548120169034,0.18001467524429002,BELON,BELON_7_A
401,7,B,0.08332216257197471,0.028063556971616402,BELON,BELON_7_B
401,7,C,0.06756597060660471,0.016622406762224904,BELON,BELON_7_C
401,8,A,0.03513343354370479,0.169173188935903,BELON,BELON_8_A
401,8,B,0.046323048666731,0.02423024221687937,BELON,BELON_8_B
401,8,C,0.061115360318696514,0.014461165673579749,BELON,BELON_8_C
401,9,A,0.050920784395202076,0.08617971833370601,BELON,BELON_9_A
401,9,B,0.03797193086922798,0.01807989210083147,BELON,BELON_9_B
401,9,C,0.05696610989125134,0.010637757041158718,BELON,BELON_9_C
401,10,A,0.048139399304762395,0.2861712970216702,BELON,BELON_10_A
401,10,B,0.05850918614982576,0.0368990867530324,BELON,BELON_10_B
401,10,C,0.05742960072175258,0.01235111729757438,BELON,BELON_10_C
401,11,A,0.05354495322075702,0.1229380583690001,BELON,BELON_11_A
401,11,B,0.06567757694141592,0.02849929338543613,BELON,BELON_11_B
401,11,C,0.055328245798225095,0.009898299360357037,BELON,BELON_11_C
401,12,A,0.02955163430739774,0.1371613441389109,BELON,BELON_12_A
401,12,B,0.06398021270708615,0.018189568609426412,BELON,BELON_12_B
401,12,C,0.057813974436890715,0.02025684558482798,BELON,BELON_12_C
401,13,A,0.04699231538910217,0.2000232694148363,BELON,BELON_13_A
401,13,B,0.06399612790569041,0.02164044499099252,BELON,BELON_13_B
401,13,C,0.05608338076663638,0.02509030195057533,BELON,BELON_13_C
401,14,A,0.05065829194525617,0.03749347625334053,BELON,BELON_14_A
401,14,B,0.07191731995921373,0.0265424242430958,BELON,BELON_14_B
401,14,C,0.059160216939729934,0.017353664744465248,BELON,BELON_14_C
402,1,A,0.047344274765691065,0.36418423469128747,BELON,BELON_1_A
402,1,B,0.07200811276068893,0.03678799083316144,BELON,BELON_1_B
402,1,C,0.03621900688585263,0.017826497938232433,BELON,BELON_1_C
402,2,A,0.03419203563466497,0.18719195847462392,BELON,BELON_2_A
402,2,B,0.06898779825187487,0.02439885729389768,BELON,BELON_2_B
402,2,C,0.04975898952251614,0.02003366343462564,BELON,BELON_2_C
402,3,A,0.030073361988188805,0.1275319814409859,BELON,BELON_3_A
402,3,B,0.05831510091791844,0.02125740082556382,BELON,BELON_3_B
402,3,C,0.03652261128634827,0.010012601297143214,BELON,BELON_3_C
402,4,A,0.032127675464964735,0.08764847971551014,BELON,BELON_4_A
402,4,B,0.051400993769163114,0.01665618165060071,BELON,BELON_4_B
402,4,C,0.0508279909036208,0.014074918492119738,BELON,BELON_4_C
402,5,A,0.03850747310736059,0.03305967334301939,BELON,BELON_5_A
402,5,B,0.06844937285331588,0.02415672732125297,BELON,BELON_5_B
402,5,C,0.05513370592614626,0.015698350264652956,BELON,BELON_5_C
402,6,A,0.055161831925202666,0.2491406677894952,BELON,BELON_6_A
402,6,B,0.07840473673865789,0.030225934424846,BELON,BELON_6_B
402,6,C,0.0630627612344582,0.018925229090639605,BELON,BELON_6_C
402,7,A,0.04371106138281964,0.1785551969158845,BELON,BELON_7_A
402,7,B,0.08010211532986183,0.0276285421200981,BELON,BELON_7_B
402,7,C,0.057149351159188386,0.014132345107181716,BELON,BELON_7_C
402,8,A,0.036097306439739275,0.1694965071723294,BELON,BELON_8_A
402,8,B,0.034397965981748074,0.02236167971885162,BELON,BELON_8_B
402,8,C,0.06114379500822076,0.014427810503737024,BELON,BELON_8_C
402,9,A,0.04280258740835223,0.08345192432710083,BELON,BELON_9_A
402,9,B,0.042456906746812705,0.01876830727715806,BELON,BELON_9_B
402,9,C,0.07674876597688622,0.01395940124667805,BELON,BELON_9_C
402,10,A,0.03655502058720757,0.2825719969318208,BELON,BELON_10_A
402,10,B,0.06660758125393389,0.03777970842016404,BELON,BELON_10_B
402,10,C,0.04394009751844475,0.009287218112110213,BELON,BELON_10_C
402,11,A,0.03815599523739936,0.118561734253787,BELON,BELON_11_A
402,11,B,0.04876389328151752,0.02607277565042977,BELON,BELON_11_B
402,11,C,0.052129264724467765,0.009338068833541428,BELON,BELON_11_C
402,12,A,0.03319324762825951,0.1387177907053706,BELON,BELON_12_A
402,12,B,0.06094099946021593,0.017747737153606245,BELON,BELON_12_B
402,12,C,0.05384950054591765,0.019306223944092482,BELON,BELON_12_C
402,13,A,0.03324825672113195,0.1949219964070344,BELON,BELON_13_A
402,13,B,0.06740103149822539,0.0222914011944136,BELON,BELON_13_B
402,13,C,0.04890569437005415,0.023271166505696505,BELON,BELON_13_C
402,14,A,0.04733993222549135,0.036258856304300646,BELON,BELON_14_A
402,14,B,0.07792468047392997,0.027422954409779272,BELON,BELON_14_B
402,14,C,0.0721141139834934,0.020079673270191903,BELON,BELON_14_C
403,1,A,0.042296231251420104,0.3628103641798665,BELON,BELON_1_A
403,1,B,0.07495003286622719,0.03716249042905058,BELON,BELON_1_B
403,1,C,0.040774392956249475,0.01908138932852694,BELON,BELON_1_C
403,2,A,0.02953281833579974,0.1853722549555682,BELON,BELON_2_A
403,2,B,0.06805452943455906,0.02427538477620189,BELON,BELON_2_B
403,2,C,0.04668942345847125,0.01935292506419669,BELON,BELON_2_C
403,3,A,0.027728672524790346,0.1266791940498611,BELON,BELON_3_A
403,3,B,0.05827253295260886,0.02117753719910704,BELON,BELON_3_B
403,3,C,0.03878126289536915,0.010514962592751012,BELON,BELON_3_C
403,4,A,0.029929621606726124,0.08685107531137932,BELON,BELON_4_A
403,4,B,0.055260857686315196,0.017381846463458764,BELON,BELON_4_B
403,4,C,0.04882028329486372,0.013703267531841621,BELON,BELON_4_C
403,5,A,0.04066773892034566,0.03388221436840122,BELON,BELON_5_A
403,5,B,0.07051337141007469,0.0244498353377351,BELON,BELON_5_B
403,5,C,0.04647458984353362,0.01403512863171887,BELON,BELON_5_C
403,6,A,0.0415580356652143,0.2449076821456765,BELON,BELON_6_A
403,6,B,0.07978434682312448,0.03045442857519836,BELON,BELON_6_B
403,6,C,0.06068200763307853,0.018349752510539556,BELON,BELON_6_C
403,7,A,0.039296319555117684,0.176899517663017,BELON,BELON_7_A
403,7,B,0.05475945375602979,0.02387489309073087,BELON,BELON_7_B
403,7,C,0.06327951465768836,0.01575091372777405,BELON,BELON_7_C
403,8,A,0.030903689006722267,0.1677171953471939,BELON,BELON_8_A
403,8,B,0.0628077782462908,0.02687956262985858,BELON,BELON_8_B
403,8,C,0.07114648520961,0.01615308282249063,BELON,BELON_8_C
403,9,A,0.03467184515375529,0.0808237347680501,BELON,BELON_9_A
403,9,B,0.06512776429662288,0.02248996674024766,BELON,BELON_9_B
403,9,C,0.07761928214945796,0.014024470946146797,BELON,BELON_9_C
403,10,A,0.021242175051548025,0.277717909268934,BELON,BELON_10_A
403,10,B,0.10527614262785343,0.04233355446496679,BELON,BELON_10_B
403,10,C,0.049595303266809936,0.010585700168006848,BELON,BELON_10_C
403,11,A,0.0263906888739172,0.11532123103018906,BELON,BELON_11_A
403,11,B,0.06560926904646829,0.02856859100282685,BELON,BELON_11_B
403,11,C,0.057227624569572824,0.010173568898868784,BELON,BELON_11_C
403,12,A,0.030125209664571648,0.1374232661980967,BELON,BELON_12_A
403,12,B,0.06345777325745236,0.01819706735677738,BELON,BELON_12_B
403,12,C,0.05043110161112917,0.01851737069782884,BELON,BELON_12_C
403,13,A,0.023124290865503203,0.1911862372253523,BELON,BELON_13_A
403,13,B,0.05652297985088298,0.02014008003696846,BELON,BELON_13_B
403,13,C,0.04876779590683966,0.0232608999382427,BELON,BELON_13_C
403,14,A,0.03947869304526366,0.03336456996647841,BELON,BELON_14_A
403,14,B,0.06456434561055267,0.0253610572260438,BELON,BELON_14_B
403,14,C,0.06006877266394165,0.01754336870007534,BELON,BELON_14_C
404,1,A,0.03806128707309981,0.36188003978961647,BELON,BELON_1_A
404,1,B,0.06255017530468877,0.03549171114931681,BELON,BELON_1_B
404,1,C,0.043651113383076014,0.01988531113051857,BELON,BELON_1_C
404,2,A,0.021755872330253452,0.1823744140234899,BELON,BELON_2_A
404,2,B,0.051926186171195085,0.021258327034616168,BELON,BELON_2_B
404,2,C,0.03576768693939489,0.016958365805994302,BELON,BELON_2_C
404,3,A,0.026097514077362046,0.1260814473081306,BELON,BELON_3_A
404,3,B,0.045807835876960294,0.018997035360280093,BELON,BELON_3_B
404,3,C,0.040315511522916105,0.010889254845443178,BELON,BELON_3_C
404,4,A,0.02775398595104852,0.08605160509589058,BELON,BELON_4_A
404,4,B,0.050464199861772724,0.016456805160117976,BELON,BELON_4_B
404,4,C,0.04508600568942522,0.012985591929287261,BELON,BELON_4_C
404,5,A,0.03436739227825888,0.0315210129120438,BELON,BELON_5_A
404,5,B,0.06035670002971604,0.02276994082469463,BELON,BELON_5_B
