ID	Group	Type	Text	Comment	xmin	xmax	ymin	ymax	alpha	color	Evaluate	Resolution	Evaluate_bigbox	shape
1	input data 1	Box	Training alaligne Polygons		-3.5	-2.5	-1.25	-0.25	0.5	#f94144	T	8 mm 	F	diamond
2	input data 1	Box	Drone alaligne Imagery 		-5	-4	-6.5	-5.5	0.5	#f94144	T	8 cm 	F	diamond
3	input data 1	Box	Drone alaligne Imagery 		-5	-4	-4.25	-3.25	0.5	#f94144	T	8 mm 	F	diamond
4	input data 1	Box	Ground Control alaligne Quadrats		-3.5	-2.5	1	2	0.5	#f94144	T	NA	F	diamond
5	input data 1	Segment		3 -> 1 	-4.5	-4.5	-3.25	-0.75	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		3 -> 1 	-4.5	-3.5	-0.75	-0.75	0.5	#EA6155	T	NA	F	
6	Pre processing	Box	Normalised alaligne Difference alaligne Vegetation alaligne Index		3.5	4.5	-2	-0.5	0.4	#f3722c	T	NA	T	square
7	Pre processing	Box	Standardised alaligne and Raw alaligne Reflectance alaligne Values		3.5	4.5	0	1.5	0.4	#f3722c	T	NA	T	square
8	Model Building	Box	Neural Network alaligne Model with alaligne 4 Hidden Layers		-2	-1	-4.25	-3.25	0.5	#f8961e	T	8 mm 	F	square
11	Model Building	Arrow		7 -> 6	4	4	0	-0.5	0.5	#52A4DA	T	NA	F	
14	Validation1	Box	Accuracy alaligne Assesment 		-2	-1	-0.5	0.5	0.5	#90be6d	T	8 mm 	F	square
18	Output1	Box	Confusion alaligne Matrix		-0.5	0.5	-0.5	0.5	0.5	#43aa8b	T	8 mm 	F	diamond
15	Validation1	Segment		4 -> 14	-2.5	-1.5	1.5	1.5	0.5	#DA9652	T	NA	F	
15	Validation1	Arrow		4 -> 14	-1.5	-1.5	1.5	0.5	0.5	#DA9652	T	NA	F	
20	Validation1	Arrow		14 -> 18	-1	-0.5	0	0	0.5	#79DA53	T	NA	F	
19	Predictionmm	Box	Prediction		-2	-1	-2	-1	0.5	#f9c74f	T	8 mm 	F	square
22	Output1	Box	Predicted alaligne Map 		-0.5	0.5	-2	-1	0.5	#43aa8b	T	8 mm 	F	diamond
23	Predictionmm	Arrow		8 -> 19	-1.4	-1.4	-3.25	-2	0.5		T	NA	F	
25	Predictionmm	Arrow		19 -> 14	-1.5	-1.5	-1	-0.5	0.5		T	NA	F	
26	Predictionmm	Arrow		19 -> 22 	-1	-0.5	-1.5	-1.5	0.5		T	NA	F	
27	Predictioncm	Box	Prediction		-2	-1	-6.5	-5.5	0.5	#f9c74f	T	8 cm 	F	square
