WL;Reflectance
315.92;0.086
317.09;0.083
318.28;0.081
319.47;0.085
320.67;0.083
321.87;0.084
323.08;0.083
324.29;0.081
325.51;0.087
326.73;0.088
327.96;0.084
329.2;0.082
330.44;0.089
331.69;0.076
332.94;0.084
334.2;0.072
335.46;0.082
336.73;0.082
338;0.077
339.28;0.083
340.56;0.082
341.85;0.081
343.14;0.082
344.43;0.072
345.73;0.071
347.04;0.073
348.35;0.074
349.66;0.065
350.98;0.061
352.3;0.066
353.63;0.062
354.96;0.056
356.29;0.055
357.63;0.054
358.98;0.052
360.32;0.051
361.67;0.047
363.03;0.048
364.38;0.047
365.74;0.047
367.11;0.045
368.48;0.042
369.85;0.042
371.22;0.042
372.6;0.043
373.98;0.043
375.37;0.042
376.76;0.042
378.15;0.042
379.54;0.041
380.94;0.041
382.34;0.041
383.74;0.040
385.15;0.039
386.56;0.039
387.97;0.038
389.39;0.037
390.8;0.035
392.22;0.033
393.65;0.031
395.07;0.031
396.5;0.029
397.93;0.028
399.36;0.027
400.8;0.027
402.23;0.026
403.67;0.025
405.12;0.025
406.56;0.025
408.01;0.025
409.46;0.024
410.91;0.024
412.36;0.024
413.81;0.023
415.27;0.024
416.73;0.023
418.19;0.023
419.65;0.023
421.12;0.023
422.58;0.022
424.05;0.023
425.52;0.023
426.99;0.022
428.46;0.022
429.94;0.022
431.41;0.022
432.89;0.022
434.37;0.021
435.85;0.022
437.33;0.022
438.82;0.022
440.3;0.022
441.79;0.022
443.28;0.022
444.77;0.022
446.26;0.021
447.75;0.021
449.24;0.021
450.74;0.021
452.23;0.021
453.73;0.021
455.23;0.021
456.73;0.021
458.23;0.021
459.73;0.021
461.23;0.021
462.73;0.021
464.24;0.021
465.74;0.021
467.25;0.021
468.76;0.021
470.26;0.021
471.77;0.021
473.28;0.021
474.79;0.021
476.31;0.021
477.82;0.021
479.33;0.021
480.84;0.021
482.36;0.021
483.87;0.021
485.39;0.021
486.91;0.021
488.42;0.021
489.94;0.022
491.46;0.022
492.98;0.022
494.5;0.022
496.02;0.022
497.54;0.023
499.06;0.023
500.58;0.024
502.11;0.024
503.63;0.025
505.15;0.025
506.68;0.026
508.2;0.027
509.73;0.027
511.25;0.028
512.78;0.029
514.3;0.030
515.83;0.031
517.36;0.032
518.88;0.033
520.41;0.034
521.94;0.035
523.47;0.036
525;0.036
526.53;0.037
528.06;0.037
529.58;0.038
531.11;0.038
532.64;0.039
534.18;0.039
535.71;0.039
537.24;0.040
538.77;0.040
540.3;0.040
541.83;0.040
543.36;0.040
544.89;0.040
546.43;0.040
547.96;0.040
549.49;0.040
551.02;0.040
552.56;0.040
554.09;0.039
555.62;0.039
557.15;0.039
558.69;0.039
560.22;0.038
561.75;0.038
563.29;0.037
564.82;0.037
566.36;0.037
567.89;0.036
569.42;0.035
570.96;0.035
572.49;0.034
574.03;0.034
575.56;0.033
577.09;0.033
578.63;0.032
580.16;0.032
581.7;0.032
583.23;0.031
584.77;0.031
586.3;0.031
587.84;0.030
589.37;0.030
590.91;0.030
592.44;0.030
593.98;0.029
595.51;0.029
597.05;0.029
598.58;0.029
600.11;0.029
601.65;0.029
603.18;0.028
604.72;0.028
606.25;0.028
