WL;Reflectance
315.92;0.134
317.09;0.135
318.28;0.138
319.47;0.129
320.67;0.132
321.87;0.129
323.08;0.141
324.29;0.131
325.51;0.140
326.73;0.131
327.96;0.135
329.2;0.139
330.44;0.137
331.69;0.143
332.94;0.127
334.2;0.132
335.46;0.129
336.73;0.131
338;0.129
339.28;0.133
340.56;0.120
341.85;0.136
343.14;0.126
344.43;0.121
345.73;0.118
347.04;0.112
348.35;0.106
349.66;0.110
350.98;0.106
352.3;0.101
353.63;0.092
354.96;0.092
356.29;0.086
357.63;0.081
358.98;0.080
360.32;0.080
361.67;0.073
363.03;0.070
364.38;0.067
365.74;0.068
367.11;0.067
368.48;0.064
369.85;0.062
371.22;0.063
372.6;0.064
373.98;0.062
375.37;0.062
376.76;0.062
378.15;0.062
379.54;0.060
380.94;0.060
382.34;0.058
383.74;0.057
385.15;0.056
386.56;0.055
387.97;0.055
389.39;0.052
390.8;0.049
392.22;0.046
393.65;0.043
395.07;0.041
396.5;0.039
397.93;0.036
399.36;0.036
400.8;0.034
402.23;0.033
403.67;0.032
405.12;0.032
406.56;0.031
408.01;0.032
409.46;0.030
410.91;0.031
412.36;0.030
413.81;0.029
415.27;0.030
416.73;0.029
418.19;0.029
419.65;0.028
421.12;0.029
422.58;0.028
424.05;0.028
425.52;0.027
426.99;0.027
428.46;0.027
429.94;0.027
431.41;0.026
432.89;0.027
434.37;0.026
435.85;0.026
437.33;0.026
438.82;0.026
440.3;0.026
441.79;0.026
443.28;0.026
444.77;0.026
446.26;0.025
447.75;0.026
449.24;0.025
450.74;0.025
452.23;0.025
453.73;0.025
455.23;0.025
456.73;0.025
458.23;0.025
459.73;0.025
461.23;0.024
462.73;0.025
464.24;0.025
465.74;0.024
467.25;0.025
468.76;0.024
470.26;0.024
471.77;0.024
473.28;0.025
474.79;0.024
476.31;0.024
477.82;0.024
479.33;0.024
480.84;0.024
482.36;0.024
483.87;0.024
485.39;0.024
486.91;0.024
488.42;0.024
489.94;0.024
491.46;0.024
492.98;0.024
494.5;0.024
496.02;0.024
497.54;0.024
499.06;0.024
500.58;0.024
502.11;0.024
503.63;0.024
505.15;0.024
506.68;0.024
508.2;0.024
509.73;0.024
511.25;0.024
512.78;0.024
514.3;0.023
515.83;0.024
517.36;0.024
518.88;0.024
520.41;0.024
521.94;0.024
523.47;0.024
525;0.024
526.53;0.024
528.06;0.024
529.58;0.024
531.11;0.024
532.64;0.024
534.18;0.024
535.71;0.024
537.24;0.024
538.77;0.024
540.3;0.024
541.83;0.024
543.36;0.025
544.89;0.025
546.43;0.025
547.96;0.025
549.49;0.025
551.02;0.025
552.56;0.026
554.09;0.026
555.62;0.026
557.15;0.026
558.69;0.026
560.22;0.027
561.75;0.027
563.29;0.027
564.82;0.027
566.36;0.027
567.89;0.027
569.42;0.027
570.96;0.027
572.49;0.027
574.03;0.027
575.56;0.027
577.09;0.027
578.63;0.027
580.16;0.027
581.7;0.027
583.23;0.027
584.77;0.027
586.3;0.026
587.84;0.026
589.37;0.026
590.91;0.026
592.44;0.026
593.98;0.026
595.51;0.026
597.05;0.026
598.58;0.026
600.11;0.026
601.65;0.026
603.18;0.026
604.72;0.026
606.25;0.025
607.79;0.025
609.32;0.025
610.86;0.025
612.39;0.024
613.93;0.024
615.46;0.024
617;0.024
618.53;0.024
620.07;0.024
621.6;0.024
623.14;0.024
624.67;0.024
626.21;0.024
627.74;0.024
629.28;0.024
630.81;0.024
632.35;0.024
633.88;0.024
635.42;0.024
636.95;0.024
638.49;0.024
640.02;0.024
641.56;0.024
643.09;0.024
644.63;0.024
646.16;0.024
647.7;0.024
649.24;0.024
650.77;0.024
652.31;0.024
653.84;0.024
655.38;0.024
656.91;0.024
658.45;0.023
659.98;0.023
661.52;0.023
663.05;0.024
664.59;0.023
666.12;0.024
667.66;0.024
669.19;0.024
670.73;0.024
672.26;0.024
673.8;0.025
675.34;0.025
676.87;0.025
678.41;0.025
679.94;0.026
681.48;0.026
683.01;0.026
684.55;0.027
686.09;0.027
687.62;0.027
689.16;0.028
690.69;0.029
692.23;0.030
693.77;0.031
695.3;0.032
696.84;0.034
698.38;0.036
699.91;0.038
701.45;0.041
702.99;0.045
704.52;0.048
706.06;0.053
707.6;0.058
709.14;0.064
710.67;0.070
712.21;0.077
713.75;0.085
715.29;0.093
716.82;0.102
718.36;0.112
719.9;0.122
721.44;0.132
722.98;0.143
724.51;0.153
726.05;0.164
727.59;0.174
729.13;0.185
730.67;0.194
732.21;0.204
733.75;0.212
735.29;0.220
736.83;0.228
738.37;0.235
739.91;0.241
741.45;0.247
742.99;0.252
744.53;0.257
746.07;0.261
747.61;0.265
749.15;0.268
750.69;0.271
752.24;0.273
753.78;0.276
755.32;0.278
756.86;0.279
758.4;0.281
759.95;0.282
761.49;0.283
763.03;0.284
764.58;0.285
766.12;0.286
767.66;0.286
769.21;0.286
770.75;0.287
772.3;0.287
773.84;0.288
775.39;0.288
776.93;0.288
778.48;0.288
780.02;0.288
781.57;0.289
783.12;0.289
784.66;0.289
786.21;0.289
787.76;0.289
789.31;0.289
790.85;0.289
792.4;0.289
793.95;0.290
795.5;0.290
797.05;0.290
798.6;0.290
800.15;0.290
801.7;0.290
803.25;0.290
804.8;0.290
806.35;0.290
807.9;0.290
809.45;0.290
811;0.291
812.56;0.291
814.11;0.291
815.66;0.292
817.21;0.292
818.77;0.292
820.32;0.292
821.88;0.292
823.43;0.292
824.99;0.292
826.54;0.293
828.1;0.293
829.65;0.293
831.21;0.293
832.77;0.293
834.32;0.293
835.88;0.293
837.44;0.293
839;0.293
840.56;0.294
842.11;0.294
843.67;0.294
845.23;0.294
846.79;0.294
848.35;0.294
849.92;0.294
851.48;0.294
853.04;0.294
854.6;0.294
856.16;0.294
857.73;0.294
859.29;0.294
860.85;0.294
862.42;0.294
863.98;0.294
865.55;0.294
867.11;0.294
868.68;0.294
870.25;0.295
871.81;0.294
873.38;0.295
