row,col,value,Model,Data,Rep
Bacillariophyceae,Bacillariophyceae,7,Random Forest,ASD,Rep_1
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_1
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_1
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_1
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_1
Xanthophyceae,Bacillariophyceae,1,Random Forest,ASD,Rep_1
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_1
Bare Sediment,Bare Sediment,10,Random Forest,ASD,Rep_1
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_1
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_1
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_1
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_1
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_1
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_1
Magnoliosida,Magnoliosida,20,Random Forest,ASD,Rep_1
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_1
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_1
Xanthophyceae,Magnoliosida,1,Random Forest,ASD,Rep_1
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_1
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_1
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_1
Phaephyceae,Phaephyceae,17,Random Forest,ASD,Rep_1
Ulvophyceae,Phaephyceae,0,Random Forest,ASD,Rep_1
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_1
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_1
Bare Sediment,Ulvophyceae,0,Random Forest,ASD,Rep_1
Magnoliosida,Ulvophyceae,0,Random Forest,ASD,Rep_1
Phaephyceae,Ulvophyceae,0,Random Forest,ASD,Rep_1
Ulvophyceae,Ulvophyceae,32,Random Forest,ASD,Rep_1
Xanthophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_1
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_1
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_1
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_1
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_1
Ulvophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_1
Xanthophyceae,Xanthophyceae,5,Random Forest,ASD,Rep_1
Bacillariophyceae,Bacillariophyceae,6,Random Forest,ASD,Rep_2
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_2
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_2
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_2
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_2
Xanthophyceae,Bacillariophyceae,1,Random Forest,ASD,Rep_2
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_2
Bare Sediment,Bare Sediment,9,Random Forest,ASD,Rep_2
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_2
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_2
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_2
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_2
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_2
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_2
Magnoliosida,Magnoliosida,22,Random Forest,ASD,Rep_2
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_2
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_2
Xanthophyceae,Magnoliosida,0,Random Forest,ASD,Rep_2
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_2
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_2
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_2
Phaephyceae,Phaephyceae,16,Random Forest,ASD,Rep_2
Ulvophyceae,Phaephyceae,1,Random Forest,ASD,Rep_2
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_2
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_2
Bare Sediment,Ulvophyceae,0,Random Forest,ASD,Rep_2
Magnoliosida,Ulvophyceae,0,Random Forest,ASD,Rep_2
Phaephyceae,Ulvophyceae,0,Random Forest,ASD,Rep_2
Ulvophyceae,Ulvophyceae,29,Random Forest,ASD,Rep_2
Xanthophyceae,Ulvophyceae,1,Random Forest,ASD,Rep_2
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_2
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_2
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_2
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_2
Ulvophyceae,Xanthophyceae,1,Random Forest,ASD,Rep_2
Xanthophyceae,Xanthophyceae,6,Random Forest,ASD,Rep_2
Bacillariophyceae,Bacillariophyceae,10,Random Forest,ASD,Rep_3
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_3
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_3
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_3
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_3
Xanthophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_3
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_3
Bare Sediment,Bare Sediment,9,Random Forest,ASD,Rep_3
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_3
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_3
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_3
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_3
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_3
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_3
Magnoliosida,Magnoliosida,18,Random Forest,ASD,Rep_3
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_3
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_3
Xanthophyceae,Magnoliosida,1,Random Forest,ASD,Rep_3
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_3
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_3
Magnoliosida,Phaephyceae,1,Random Forest,ASD,Rep_3
Phaephyceae,Phaephyceae,14,Random Forest,ASD,Rep_3
Ulvophyceae,Phaephyceae,0,Random Forest,ASD,Rep_3
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_3
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_3
Bare Sediment,Ulvophyceae,0,Random Forest,ASD,Rep_3
Magnoliosida,Ulvophyceae,0,Random Forest,ASD,Rep_3
Phaephyceae,Ulvophyceae,0,Random Forest,ASD,Rep_3
Ulvophyceae,Ulvophyceae,29,Random Forest,ASD,Rep_3
Xanthophyceae,Ulvophyceae,1,Random Forest,ASD,Rep_3
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_3
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_3
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_3
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_3
Ulvophyceae,Xanthophyceae,3,Random Forest,ASD,Rep_3
Xanthophyceae,Xanthophyceae,7,Random Forest,ASD,Rep_3
Bacillariophyceae,Bacillariophyceae,10,Random Forest,ASD,Rep_4
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_4
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_4
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_4
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_4
Xanthophyceae,Bacillariophyceae,1,Random Forest,ASD,Rep_4
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_4
Bare Sediment,Bare Sediment,9,Random Forest,ASD,Rep_4
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_4
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_4
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_4
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_4
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_4
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_4
Magnoliosida,Magnoliosida,16,Random Forest,ASD,Rep_4
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_4
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_4
Xanthophyceae,Magnoliosida,0,Random Forest,ASD,Rep_4
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_4
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_4
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_4
Phaephyceae,Phaephyceae,16,Random Forest,ASD,Rep_4
Ulvophyceae,Phaephyceae,0,Random Forest,ASD,Rep_4
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_4
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_4
Bare Sediment,Ulvophyceae,1,Random Forest,ASD,Rep_4
Magnoliosida,Ulvophyceae,0,Random Forest,ASD,Rep_4
Phaephyceae,Ulvophyceae,1,Random Forest,ASD,Rep_4
