Wavelength,Coastal blue,Blue 475,green 531,Green 560,Red 650,Red 668,RedEdge 705,RedEdge 717,RedEdge 740,NIR
360,1.46E-11,2.81E-16,2.28E-180,3.98E-67,0,0,0,0,0,1.19E-86
361,2.63E-11,5.22E-16,2.84E-178,1.82E-66,0,0,0,0,0,2.71E-86
362,4.71E-11,9.66E-16,3.44E-176,8.27E-66,0,0,0,0,0,6.15E-86
363,8.38E-11,1.78E-15,4.04E-174,3.73E-65,0,0,0,0,0,1.39E-85
364,1.48E-10,3.25E-15,4.62E-172,1.67E-64,0,0,0,0,0,3.15E-85
365,2.60E-10,5.91E-15,5.14E-170,7.41E-64,0,0,0,0,0,7.11E-85
366,4.53E-10,1.07E-14,5.55E-168,3.27E-63,0,0,0,0,0,1.60E-84
367,7.83E-10,1.92E-14,5.82E-166,1.43E-62,0,0,0,0,0,3.60E-84
368,1.35E-09,3.44E-14,5.95E-164,6.20E-62,0,0,0,0,0,8.09E-84
369,2.29E-09,6.13E-14,5.90E-162,2.67E-61,0,0,0,0,0,1.81E-83
370,3.89E-09,1.09E-13,5.69E-160,1.14E-60,0,0,0,0,0,4.06E-83
371,6.54E-09,1.91E-13,5.34E-158,4.85E-60,0,0,0,0,0,9.07E-83
372,1.09E-08,3.35E-13,4.86E-156,2.04E-59,0,0,0,0,0,2.02E-82
373,1.81E-08,5.83E-13,4.31E-154,8.53E-59,0,0,0,0,0,4.50E-82
374,2.98E-08,1.01E-12,3.71E-152,3.54E-58,0,0,0,0,0,1.00E-81
375,4.87E-08,1.74E-12,3.11E-150,1.46E-57,0,0,0,0,0,2.22E-81
376,7.91E-08,2.99E-12,2.53E-148,5.95E-57,0,0,0,0,0,4.92E-81
377,1.27E-07,5.09E-12,2.00E-146,2.41E-56,0,0,0,0,0,1.09E-80
378,2.04E-07,8.63E-12,1.54E-144,9.70E-56,0,0,0,0,0,2.40E-80
379,3.24E-07,1.46E-11,1.15E-142,3.87E-55,0,0,0,0,0,5.29E-80
380,5.12E-07,2.44E-11,8.37E-141,1.53E-54,0,0,0,0,0,1.16E-79
381,8.02E-07,4.07E-11,5.91E-139,6.03E-54,0,0,0,0,0,2.56E-79
382,1.25E-06,6.76E-11,4.06E-137,2.35E-53,0,0,0,0,0,5.61E-79
383,1.93E-06,1.11E-10,2.71E-135,9.12E-53,0,0,0,0,0,1.23E-78
384,2.96E-06,1.83E-10,1.76E-133,3.50E-52,0,0,0,0,0,2.68E-78
385,4.50E-06,2.99E-10,1.11E-131,1.34E-51,0,0,0,0,0,5.85E-78
386,6.81E-06,4.85E-10,6.82E-130,5.06E-51,0,0,0,0,0,1.27E-77
387,1.02E-05,7.83E-10,4.06E-128,1.90E-50,0,0,0,0,0,2.77E-77
388,1.53E-05,1.26E-09,2.36E-126,7.09E-50,0,0,0,0,0,6.01E-77
