Wavelength,Largeur 
402.44,11.4145
411.316,10.5576
419.372,9.83586
426.967,9.40323
434.308,9.25156
441.659,9.2202
449.034,9.14637
456.377,9.08101
463.731,8.95962
470.949,8.9568
478.176,8.95177
485.41,9.0287
492.7,9.20349
500.137,9.29688
507.663,9.36854
515.176,9.49046
522.916,9.63726
530.667,9.66734
538.487,9.78405
546.48,9.98841
554.565,10.0571
562.737,10.1748
571.003,10.3089
579.352,10.3989
587.824,10.5485
596.475,10.797
605.391,10.9553
614.172,11.0427
623.197,11.2333
632.132,11.152
641.333,11.5326
650.791,11.6368
660.264,11.7189
669.817,11.8337
679.473,11.9657
689.421,12.0818
699.096,11.9817
708.997,12.4265
719.172,12.3529
729.245,12.411
739.418,12.5386
749.731,12.6172
760.097,12.7725
770.529,12.733
780.912,12.756
791.362,12.8286
801.937,12.9285
812.54,12.9449
823.146,12.9721
833.751,12.9899
844.427,13.0615
855.182,13.1318
865.949,13.1541
876.641,13.074
887.266,13.1026
897.986,13.1212
908.644,13.0828
919.176,12.9155
929.385,12.7562
939.86,13.1657
951.362,13.5228
962.264,12.9841
972.635,12.9115
