Wavelength  P_1_PAN  P_1_B0_Blue  P_1_B1_Green  P_1_B2_Red  P_1_B3_NIR
  0.430000  0.000000  0.009868  0.000014  0.009739  0.002416
  0.432500  0.000000  0.029327  0.000014  0.003531  0.001731
  0.435000  0.000000  0.087732  0.000026  0.003537  0.002080
  0.437500  0.000000  0.128704  0.000019  0.011442  0.002050
  0.440000  0.000000  0.134124  0.000013  0.026669  0.001266
  0.442500  0.000000  0.245705  0.000018  0.037349  0.000736
  0.445000  0.000000  0.434552  0.000022  0.090443  0.000620
  0.447500  0.000000  0.513304  0.000018  0.090758  0.000634
  0.450000  0.000436  0.471097  0.000012  0.039931  0.000772
  0.452500  0.000805  0.512588  0.000020  0.020875  0.001184
  0.455000  0.003046  0.653037  0.000028  0.008069  0.002082
  0.457500  0.006069  0.770787  0.000029  0.002700  0.002399
  0.460000  0.013017  0.787942  0.000042  0.001124  0.001338
  0.462500  0.024017  0.764833  0.000037  0.000646  0.000633
  0.465000  0.042167  0.771838  0.000026  0.000503  0.000354
  0.467500  0.071823  0.801329  0.000025  0.000605  0.000289
  0.470000  0.115166  0.824079  0.000044  0.000998  0.000250
  0.472500  0.173852  0.835289  0.000090  0.001945  0.000254
  0.475000  0.244296  0.832615  0.000114  0.001455  0.000335
  0.477500  0.320409  0.824915  0.000082  0.000609  0.000505
  0.480000  0.394040  0.816816  0.000078  0.000323  0.000868
  0.482500  0.455256  0.816338  0.000192  0.000250  0.000987
  0.485000  0.501522  0.828542  0.000340  0.000254  0.000659
  0.487500  0.532431  0.862382  0.000409  0.000336  0.000383
  0.490000  0.553704  0.907506  0.000494  0.000538  0.000261
  0.492500  0.568383  0.937900  0.000785  0.000777  0.000236
  0.495000  0.582428  0.950571  0.004598  0.000490  0.000236
  0.497500  0.596710  0.957226  0.008512  0.000205  0.000279
  0.500000  0.610711  0.965057  0.014301  0.000087  0.000361
  0.502500  0.623208  0.963279  0.024331  0.000059  0.000558
  0.505000  0.633593  0.958726  0.048057  0.000022  0.000741
  0.507500  0.642160  0.956732  0.109736  0.000029  0.000741
  0.510000  0.650102  0.964676  0.235389  0.000030  0.000577
  0.512500  0.657050  0.980462  0.432837  0.000041  0.000423
  0.515000  0.664026  0.990024  0.649134  0.000046  0.000321
  0.517500  0.670742  0.983894  0.809577  0.000045  0.000304
  0.520000  0.676534  0.971911  0.884768  0.000032  0.000302
  0.522500  0.680817  0.971528  0.906664  0.000022  0.000320
  0.525000  0.682976  0.957489  0.913115  0.000015  0.000381
  0.527500  0.683431  0.877013  0.918670  0.000010  0.000463
  0.530000  0.683180  0.710391  0.927327  0.000007  0.000593
  0.532500  0.683139  0.494381  0.940521  0.000011  0.000708
  0.535000  0.684676  0.302199  0.951293  0.000031  0.000858
  0.537500  0.689282  0.172272  0.958750  0.000012  0.000902
  0.540000  0.696440  0.094354  0.966736  0.000012  0.000881
  0.542500  0.707310  0.054390  0.970975  0.000028  0.000780
  0.545000  0.719337  0.034573  0.972863  0.000018  0.000658
  0.547500  0.732305  0.026102  0.976956  0.000026  0.000586
  0.550000  0.744955  0.023001  0.985071  0.000014  0.000522
  0.552500  0.755427  0.022320  0.989250  0.000039  0.000551
  0.555000  0.763877  0.021014  0.986596  0.000052  0.000640
  0.557500  0.771594  0.017317  0.974330  0.000069  0.000829
  0.560000  0.777634  0.011911  0.957519  0.000080  0.001344
  0.562500  0.782648  0.007290  0.943555  0.000078  0.002394
  0.565000  0.787106  0.004631  0.943931  0.000100  0.002727
  0.567500  0.791360  0.003330  0.957135  0.000117  0.001433
  0.570000  0.794901  0.002586  0.971253  0.000148  0.000639
  0.572500  0.797429  0.002023  0.976158  0.000184  0.000360
  0.575000  0.799685  0.001503  0.961959  0.000211  0.000242
  0.577500  0.800700  0.001053  0.924489  0.000297  0.000172
  0.580000  0.800337  0.000704  0.873458  0.000416  0.000157
  0.582500  0.800256  0.000520  0.834984  0.000637  0.000164
  0.585000  0.800016  0.000412  0.816674  0.001001  0.000189
  0.587500  0.801278  0.000410  0.801596  0.003289  0.000235
  0.590000  0.803592  0.000532  0.743591  0.010011  0.000323
  0.592500  0.807710  0.000953  0.616035  0.018184  0.000673
  0.595000  0.813668  0.001352  0.432132  0.033051  0.001431
  0.597500  0.820980  0.001427  0.254454  0.062478  0.001332
  0.600000  0.830293  0.000918  0.136087  0.118367  0.000580
  0.602500  0.839066  0.000344  0.076955  0.221874  0.000242
  0.605000  0.848246  0.000132  0.047932  0.375682  0.000126
  0.607500  0.856413  0.000078  0.034201  0.557483  0.000102
  0.610000  0.863460  0.000063  0.026670  0.734222  0.000045
  0.612500  0.868968  0.000051  0.021263  0.863684  0.000065
  0.615000  0.873800  0.000054  0.016054  0.931992  0.000054
  0.617500  0.876777  0.000053  0.010697  0.952701  0.000057
  0.620000  0.879996  0.000045  0.006054  0.962009  0.000052
  0.622500  0.882563  0.000040  0.003080  0.952734  0.000050
  0.625000  0.884987  0.000032  0.001542  0.943722  0.000065
  0.627500  0.889433  0.000033  0.000833  0.945630  0.000072
  0.630000  0.893911  0.000026  0.000471  0.956233  0.000083
  0.632500  0.899416  0.000030  0.000292  0.969312  0.000074
  0.635000  0.905630  0.000021  0.000192  0.983964  0.000069
  0.637500  0.912379  0.000024  0.000147  0.994916  0.000138
  0.640000  0.918880  0.000024  0.000106  0.999270  0.000169
  0.642500  0.924477  0.000027  0.000091  0.999330  0.000224
  0.645000  0.928954  0.000026  0.000059  0.996343  0.000230
  0.647500  0.933801  0.000021  0.000055  0.994413  0.000155
  0.650000  0.937411  0.000034  0.000075  0.988305  0.000149
  0.652500  0.941488  0.000038  0.000088  0.985758  0.000112
  0.655000  0.944919  0.000039  0.000098  0.980756  0.000106
  0.657500  0.948021  0.000043  0.000113  0.968379  0.000107
  0.660000  0.950981  0.000028  0.000137  0.954470  0.000101
  0.662500  0.953257  0.000028  0.000195  0.937175  0.000086
  0.665000  0.956042  0.000019  0.000228  0.917035  0.000053
  0.667500  0.958143  0.000027  0.000209  0.892282  0.000035
  0.670000  0.960091  0.000024  0.000150  0.866271  0.000044
  0.672500  0.960958  0.000021  0.000064  0.844275  0.000037
  0.675000  0.963135  0.000014  0.000031  0.822042  0.000069
  0.677500  0.964932  0.000017  0.000028  0.788807  0.000077
  0.680000  0.967447  0.000026  0.000031  0.737292  0.000079
  0.682500  0.972892  0.000030  0.000033  0.662508  0.000133
  0.685000  0.977424  0.000033  0.000022  0.566212  0.000124
  0.687500  0.982783  0.000045  0.000024  0.449312  0.000205
  0.690000  0.987463  0.000040  0.000021  0.326000  0.000246
  0.692500  0.992665  0.000040  0.000019  0.219404  0.000272
  0.695000  0.996640  0.000038  0.000023  0.141650  0.000381
  0.697500  0.999368  0.000034  0.000023  0.092567  0.000457
  0.700000  0.999914  0.000031  0.000020  0.061944  0.000625
  0.702500  0.994290  0.000030  0.000020  0.045644  0.000819
  0.705000  0.988264  0.000024  0.000016  0.035568  0.000973
  0.707500  0.981072  0.000022  0.000031  0.031088  0.001228
  0.710000  0.975158  0.000021  0.000046  0.029517  0.001353
  0.712500  0.969999  0.000032  0.000029  0.023335  0.001576
  0.715000  0.965994  0.000069  0.000026  0.018963  0.001746
  0.717500  0.963221  0.000220  0.000023  0.015863  0.001910
  0.720000  0.962405  0.000506  0.000039  0.013227  0.002086
  0.722500  0.962150  0.000837  0.000111  0.010747  0.002305
  0.725000  0.963341  0.000946  0.000190  0.008397  0.002524
  0.727500  0.965431  0.000710  0.000229  0.006385  0.003723
  0.730000  0.967103  0.000491  0.000223  0.004660  0.004419
  0.732500  0.967257  0.000443  0.000132  0.003381  0.005357
  0.735000  0.967737  0.000606  0.000055  0.002417  0.006612
  0.737500  0.965311  0.001202  0.000061  0.001748  0.008351
  0.740000  0.963314  0.001624  0.000041  0.001295  0.010751
  0.742500  0.957949  0.001678  0.000038  0.000994  0.015039
  0.745000  0.953325  0.000973  0.000038  0.000744  0.021276
  0.747500  0.948641  0.000361  0.000027  0.000631  0.029257
  0.750000  0.942359  0.000166  0.000023  0.000514  0.041425
  0.752500  0.935841  0.000086  0.000020  0.000435  0.058663
  0.755000  0.929934  0.000056  0.000021  0.000355  0.083488
  0.757500  0.924394  0.000056  0.000030  0.000316  0.119038
  0.760000  0.919009  0.000059  0.000042  0.000308  0.167185
  0.762500  0.914122  0.000046  0.000030  0.000291  0.232637
  0.765000  0.908780  0.000038  0.000034  0.000287  0.312406
  0.767500  0.903975  0.000059  0.000033  0.000275  0.407047
  0.770000  0.898069  0.000068  0.000036  0.000305  0.509193
  0.772500  0.892722  0.000047  0.000028  0.000301  0.614827
  0.775000  0.887050  0.000087  0.000034  0.000334  0.714087
  0.777500  0.882815  0.000063  0.000033  0.000431  0.801755
  0.780000  0.877187  0.000095  0.000042  0.000495  0.871484
  0.782500  0.873451  0.000102  0.000042  0.000549  0.924126
  0.785000  0.869414  0.000156  0.000047  0.000584  0.958721
  0.787500  0.866431  0.000238  0.000042  0.000669  0.978299
  0.790000  0.866056  0.000349  0.000023  0.000697  0.988204
  0.792500  0.858817  0.000541  0.000044  0.000665  0.992294
  0.795000  0.847775  0.000723  0.000050  0.000587  0.990203
  0.797500  0.833107  0.000790  0.000045  0.000469  0.985402
  0.800000  0.813586  0.000719  0.000043  0.000409  0.977756
  0.802500  0.786593  0.000520  0.000060  0.000361  0.966020
  0.805000  0.748986  0.000394  0.000067  0.000240  0.953207
  0.807500  0.698168  0.000313  0.000114  0.000261  0.942125
  0.810000  0.630627  0.000270  0.000178  0.000248  0.930356
  0.812500  0.550662  0.000260  0.000355  0.000213  0.924149
  0.815000  0.461684  0.000238  0.000961  0.000210  0.921222
  0.817500  0.369589  0.000229  0.004126  0.000192  0.920382
  0.820000  0.282349  0.000241  0.006668  0.000164  0.921702
  0.822500  0.207451  0.000274  0.007856  0.000180  0.922742
  0.825000  0.146530  0.000320  0.006864  0.000218  0.923000
  0.827500  0.101010  0.000381  0.002944  0.000200  0.923767
  0.830000  0.068687  0.000490  0.001132  0.000203  0.924307
  0.832500  0.047103  0.000608  0.000703  0.000235  0.920652
  0.835000  0.032422  0.000821  0.000547  0.000273  0.915484
  0.837500  0.024675  0.001179  0.000497  0.000265  0.909091
  0.840000  0.017414  0.001815  0.000493  0.000294  0.900338
  0.842500  0.012670  0.003082  0.000535  0.000467  0.890562
  0.845000  0.011663  0.005559  0.000622  0.000488  0.877642
  0.847500  0.008669  0.010365  0.000796  0.000664  0.866860
  0.850000  0.008177  0.016631  0.001071  0.000780  0.853729
  0.852500  0.000000  0.021150  0.001670  0.001059  0.842859
  0.855000  0.000000  0.021625  0.003033  0.001401  0.830531
  0.857500  0.000000  0.017691  0.005496  0.001901  0.819574
  0.860000  0.000000  0.013693  0.009139  0.002492  0.806909
  0.862500  0.000000  0.010714  0.012505  0.003438  0.792108
  0.865000  0.000000  0.008955  0.014421  0.004218  0.779167
  0.867500  0.000000  0.007979  0.014110  0.005362  0.766051
  0.870000  0.000000  0.007919  0.011742  0.006281  0.752119
  0.872500  0.000000  0.008046  0.008982  0.006877  0.737527
  0.875000  0.000000  0.008892  0.006792  0.007114  0.721732
  0.877500  0.000000  0.010206  0.005685  0.007040  0.704322
  0.880000  0.000000  0.012616  0.005200  0.006588  0.685317
  0.882500  0.000000  0.016225  0.005364  0.006787  0.664250
  0.885000  0.000000  0.022131  0.006035  0.006688  0.641385
  0.887500  0.000000  0.030829  0.006767  0.006857  0.617303
  0.890000  0.000000  0.041198  0.008317  0.007049  0.591954
  0.892500  0.000000  0.049823  0.010652  0.007391  0.567231
  0.895000  0.000000  0.053127  0.013911  0.008120  0.543013
  0.897500  0.000000  0.048449  0.018374  0.008739  0.518456
  0.900000  0.000000  0.039112  0.023129  0.009658  0.495754
  0.902500  0.000000  0.029141  0.027266  0.010663  0.473434
  0.905000  0.000000  0.021263  0.029813  0.012013  0.452822
  0.907500  0.000000  0.016215  0.030032  0.013722  0.433227
  0.910000  0.000000  0.012892  0.028651  0.015982  0.413192
  0.912500  0.000000  0.010817  0.026617  0.018090  0.391912
  0.915000  0.000000  0.009411  0.024753  0.020656  0.365966
  0.917500  0.000000  0.008439  0.023697  0.023641  0.332542
  0.920000  0.000000  0.007725  0.023273  0.026963  0.291768
  0.922500  0.000000  0.007423  0.023673  0.031050  0.245391
  0.925000  0.000000  0.007260  0.024581  0.035315  0.196254
  0.927500  0.000000  0.007346  0.025717  0.039873  0.148685
  0.930000  0.000000  0.007421  0.026772  0.043880  0.106886
  0.932500  0.000000  0.007643  0.026745  0.046238  0.073826
  0.935000  0.000000  0.007779  0.025445  0.045492  0.049178
  0.937500  0.000000  0.007815  0.022706  0.040875  0.032799
  0.940000  0.000000  0.007700  0.018851  0.033318  0.021583
  0.942500  0.000000  0.007226  0.014799  0.025119  0.014539
  0.945000  0.000000  0.006590  0.010986  0.017909  0.010322
  0.947500  0.000000  0.005712  0.007980  0.012513  0.007614
  0.950000  0.000000  0.004814  0.005752  0.008612  0.006135
